rule_num,rule_count,AUC,precision_curve,MAP
RC01956,2,1.000000,1-1.0;2-1.0,0.333333
RC02532,2,0.500000,1-0.0;2-0.5;4-0.5,0.500000
RC02672,2,1.000000,1-1.0;2-1.0,0.333333
RC00938,2,0.500000,1-1.0;2-0.5,0.333333
RC00462,2,1.000000,1-1.0;2-1.0,0.333333
RC01313,2,1.000000,1-1.0;2-1.0,0.333333
RC01231,2,1.000000,1-1.0;2-1.0,0.666667
RC02602,2,1.000000,1-1.0;2-1.0,0.333333
RC01308,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02034,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02592,2,1.000000,1-1.0;2-1.0,0.333333
RC00432,2,1.000000,1-1.0;2-1.0,0.666667
RC01102,2,1.000000,1-1.0;2-1.0,0.333333
RC02074,2,1.000000,1-1.0;2-1.0,0.333333
RC02790,2,1.000000,1-1.0;2-1.0,0.333333
RC01941,2,0.500000,1-1.0;2-0.5,0.333333
RC00636,2,0.000000,1-0.0;2-0.5,0.333333
RC02753,2,1.000000,1-1.0;2-1.0,0.666667
RC01194,2,0.500000,1-1.0;2-0.5,0.333333
RC01344,2,1.000000,1-1.0;2-1.0,0.666667
RC03327,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02681,2,0.000000,1-0.0;2-0.0;4-0.5,0.250000
RC01623,2,0.000000,1-0.0;2-0.0;4-0.5,0.250000
RC00283,2,1.000000,1-1.0;2-1.0,0.333333
RC02751,2,1.000000,1-1.0;2-1.0,0.333333
RC01263,2,1.000000,1-1.0;2-1.0,0.333333
RC00944,2,1.000000,1-1.0;2-1.0,0.333333
RC03451,2,0.500000,1-0.0;2-0.5;4-0.5,0.500000
RC02552,2,1.000000,1-1.0;2-1.0,0.333333
RC00447,2,1.000000,1-1.0;2-1.0,0.333333
RC01702,2,0.750000,1-1.0;2-1.0,0.666667
RC02130,2,1.000000,1-1.0;2-1.0,0.333333
RC00531,2,0.000000,1-0.0;2-0.0;4-0.5,0.250000
RC01246,2,0.500000,1-1.0;2-0.5,0.500000
RC02419,2,0.000000,1-0.0;2-0.5,0.333333
RC00903,2,0.000000,1-0.0;2-0.0;4-0.5,0.250000
RC02762,2,1.000000,1-1.0;2-1.0,0.333333
RC00886,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC00937,2,0.000000,1-0.0;2-0.5,0.333333
RC01352,2,1.000000,1-1.0;2-1.0,0.333333
RC00828,2,1.000000,1-1.0;2-1.0,0.666667
RC01634,2,1.000000,1-1.0;2-1.0,0.333333
RC01429,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC01913,2,1.000000,1-1.0;2-1.0,0.333333
RC03242,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC03539,2,1.000000,1-1.0;2-1.0,0.333333
RC01933,2,1.000000,1-1.0;2-1.0,0.333333
RC03308,2,1.000000,1-1.0;2-1.0,0.333333
RC00748,2,1.000000,1-1.0;2-1.0,0.333333
RC02832,2,1.000000,1-1.0;2-1.0,0.333333
RC01202,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02105,2,0.250000,1-0.0;2-0.5;4-0.5,0.500000
RC01266,2,1.000000,1-1.0;2-1.0,0.333333
RC01846,2,1.000000,1-1.0;2-1.0,0.333333
RC02182,2,1.000000,1-1.0;2-1.0,0.333333
RC01317,2,1.000000,1-1.0;2-1.0,0.333333
RC03159,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02694,2,1.000000,1-1.0;2-1.0,0.333333
